utc_time,latitude_deg,longitude_deg,elevation_km
2026-03-15 00:00:00,5.4509753599977895,22.2805727836338,513.7133158543421
2026-03-15 01:00:00,-53.20852898972273,177.88937549328068,525.6258395847649
2026-03-15 02:00:00,76.51750945028891,-153.80446521314786,514.3376364877168
2026-03-15 03:00:00,-30.7272209710763,-17.525336890679924,523.9961515857298
2026-03-15 04:00:00,-17.25938410420392,140.66253852312855,508.065129524501
2026-03-15 05:00:00,63.9273890278353,-67.56151923234975,516.1470774412803
2026-03-15 06:00:00,-66.13500458338048,-49.7385809329293,536.1691651984597
2026-03-15 07:00:00,19.100345564395276,100.60646258053856,501.75447095079164
2026-03-15 08:00:00,28.253003979667472,-101.04361520593008,512.743598480216
2026-03-15 09:00:00,-74.73177709678137,39.25806045989496,534.9094739505003
2026-03-15 10:00:00,55.134686249667254,63.86241194173821,508.83179054457787
2026-03-15 11:00:00,-7.98254493414133,-140.94253139246868,516.3018730135542
2026-03-15 12:00:00,-39.99468757339752,16.680453857568164,518.9257370738159
2026-03-15 13:00:00,82.20854889943311,114.39583888101217,515.980287123674
2026-03-15 14:00:00,-44.007871531871686,-179.71128233946075,529.2241697002466
2026-03-15 15:00:00,-3.804650666173306,-22.495851286498752,503.9174819665143
2026-03-15 16:00:00,50.87263909259212,133.71835966101105,514.7032051034636
2026-03-15 17:00:00,-78.03896793805129,166.29616803665562,537.9129703047565
2026-03-15 18:00:00,32.52687277702333,-62.1924399137954,503.34579978016234
2026-03-15 19:00:00,14.84691120146704,96.01175876496912,512.5922990862728
2026-03-15 20:00:00,-62.313420152574515,-111.48161942728579,530.26608925644
2026-03-15 21:00:00,68.06904966898381,-92.96517249378424,512.1422162209881
2026-03-15 22:00:00,-21.383440959749716,55.95344406170059,520.4383659364922
2026-03-15 23:00:00,-26.655149397205452,-145.7705763182469,512.3643977887992
